id	name	created_at	updated_at
46	興福寺	2013-02-02 18:50:38	2013-02-02 18:50:38
47	足利義満	2013-02-02 18:50:38	2013-02-02 18:50:38
48	銀閣	2013-02-02 18:55:37	2013-02-02 18:55:37
49	応仁の乱	2013-02-02 18:55:37	2013-02-02 18:55:37
50	足利義政	2013-02-02 18:55:37	2013-02-02 18:55:37
51	鹿苑寺	2013-02-02 19:00:53	2013-02-02 19:00:53
52	金閣寺	2013-02-02 19:00:53	2013-02-02 19:00:53
53	五山	2013-02-02 19:18:34	2013-02-02 19:18:34
54	お菓子	2013-02-03 23:35:28	2013-02-03 23:35:28
55	醍醐寺	2013-02-04 11:29:04	2013-02-04 11:29:04
56	伏見稲荷大社	2013-02-04 12:20:41	2013-02-04 12:20:41
57	相国寺	2013-02-05 00:12:21	2013-02-05 00:12:21
58	文化財	2013-02-05 04:44:37	2013-02-05 04:44:37
59	漫画	2013-02-05 04:48:55	2013-02-05 04:48:55
60	国宝	2013-02-05 04:56:36	2013-02-11 04:29:53
61	重要文化財	2013-02-05 04:56:36	2013-02-05 04:56:36
62	源頼家	2013-02-05 05:16:07	2013-02-05 05:16:07
63	栄西	2013-02-05 05:16:07	2013-02-05 05:16:07
64	梅小路公園	2013-02-05 05:31:28	2013-02-05 05:31:28
65	予約	2013-02-05 06:36:18	2013-02-11 04:30:57
66	アップル	2013-02-05 06:54:12	2013-02-05 06:54:12
67	古事記	2013-02-05 07:06:11	2013-02-05 07:06:11
68	天台宗	2013-02-05 07:11:42	2013-02-05 07:11:42
69	商業施設	2013-02-05 07:26:13	2013-02-05 07:26:13
70	繁華街	2013-02-05 07:46:21	2013-02-05 07:46:21
71	五奉行	2013-02-05 07:57:24	2013-02-05 07:57:24
72	井上六郎商店	2013-02-05 23:23:09	2013-02-05 23:23:09
73	糺の森	2013-02-05 23:34:55	2013-02-05 23:34:55
74	修学院離宮	2013-02-05 23:44:14	2013-02-05 23:44:14
75	京都コンサートホール	2013-02-06 00:15:24	2013-02-06 00:15:24
76	壬生寺	2013-02-06 23:21:23	2013-02-06 23:21:23
77	錦市場	2013-02-06 23:45:34	2013-02-06 23:45:34
78	西利	2013-02-06 23:59:53	2013-02-06 23:59:53
79	漬け物	2013-02-06 23:59:53	2013-02-06 23:59:53
80	寺社	2013-02-07 11:56:50	2013-02-07 11:56:50
81	橋	2013-02-07 11:56:50	2013-02-07 11:56:50
82	紅葉	2013-02-07 11:56:50	2013-02-07 11:56:50
83	大学	2013-02-07 12:28:26	2013-02-07 12:28:26
84	音楽	2013-02-07 12:28:26	2013-02-07 12:28:26
85	花	2013-02-07 23:49:08	2013-02-07 23:49:08
86	妙心寺	2013-02-07 23:49:32	2013-02-07 23:49:32
87	徒然草	2013-02-08 00:01:51	2013-02-08 00:01:51
88	大覚寺	2013-02-08 00:10:24	2013-02-08 00:10:24
89	グルメ	2013-02-09 09:08:21	2013-02-09 09:08:21
90	駅	2013-02-09 09:21:26	2013-02-09 09:21:26
91	博物館	2013-02-11 04:36:09	2013-02-11 04:36:09
92	天下三棚	2013-02-12 07:48:13	2013-02-12 07:48:13
93	歌	2013-02-13 23:47:58	2013-02-13 23:47:58
94	お菓子、グルメ	2013-02-15 03:29:29	2013-02-15 03:29:29
95	お菓子, グルメ	2013-02-15 03:29:58	2013-02-15 03:29:58
96	キャラクター	2013-02-15 03:31:39	2013-02-15 03:31:39
97	山科	2013-02-15 03:31:39	2013-02-15 03:31:39
