id	name	created_at	updated_at
46	興福寺	2013-02-02 18:50:38	2013-02-02 18:50:38
47	足利義満	2013-02-02 18:50:38	2013-02-02 18:50:38
48	銀閣	2013-02-02 18:55:37	2013-02-02 18:55:37
49	応仁の乱	2013-02-02 18:55:37	2013-02-02 18:55:37
50	足利義政	2013-02-02 18:55:37	2013-02-02 18:55:37
51	鹿苑寺	2013-02-02 19:00:53	2013-02-02 19:00:53
52	金閣寺	2013-02-02 19:00:53	2013-02-02 19:00:53
53	五山	2013-02-02 19:18:34	2013-02-02 19:18:34
54	予約001	2013-02-03 23:35:28	2013-02-20 08:30:05
55	醍醐寺	2013-02-04 11:29:04	2013-02-04 11:29:04
56	伏見稲荷大社	2013-02-04 12:20:41	2013-02-04 12:20:41
57	相国寺	2013-02-05 00:12:21	2013-02-05 00:12:21
58	文化財	2013-02-05 04:44:37	2013-02-05 04:44:37
59	漫画	2013-02-05 04:48:55	2013-02-05 04:48:55
60	国宝	2013-02-05 04:56:36	2013-02-11 04:29:53
61	重要文化財	2013-02-05 04:56:36	2013-02-05 04:56:36
62	源頼家	2013-02-05 05:16:07	2013-02-05 05:16:07
63	栄西	2013-02-05 05:16:07	2013-02-05 05:16:07
64	梅小路公園	2013-02-05 05:31:28	2013-02-05 05:31:28
65	予約	2013-02-05 06:36:18	2013-02-11 04:30:57
66	アップル	2013-02-05 06:54:12	2013-02-05 06:54:12
67	古事記	2013-02-05 07:06:11	2013-02-05 07:06:11
68	天台宗	2013-02-05 07:11:42	2013-02-05 07:11:42
69	商業施設	2013-02-05 07:26:13	2013-02-05 07:26:13
70	繁華街	2013-02-05 07:46:21	2013-02-05 07:46:21
71	五奉行	2013-02-05 07:57:24	2013-02-05 07:57:24
72	井上六郎商店	2013-02-05 23:23:09	2013-02-05 23:23:09
73	糺の森	2013-02-05 23:34:55	2013-02-05 23:34:55
74	修学院離宮	2013-02-05 23:44:14	2013-02-05 23:44:14
75	京都コンサートホール	2013-02-06 00:15:24	2013-02-06 00:15:24
76	壬生寺	2013-02-06 23:21:23	2013-02-06 23:21:23
77	錦市場	2013-02-06 23:45:34	2013-02-06 23:45:34
78	西利	2013-02-06 23:59:53	2013-02-06 23:59:53
79	漬け物	2013-02-06 23:59:53	2013-02-06 23:59:53
80	寺社	2013-02-07 11:56:50	2013-02-07 11:56:50
81	橋	2013-02-07 11:56:50	2013-02-07 11:56:50
82	紅葉	2013-02-07 11:56:50	2013-02-07 11:56:50
83	大学	2013-02-07 12:28:26	2013-02-07 12:28:26
84	音楽	2013-02-07 12:28:26	2013-02-07 12:28:26
85	花	2013-02-07 23:49:08	2013-02-07 23:49:08
86	妙心寺	2013-02-07 23:49:32	2013-02-07 23:49:32
87	徒然草	2013-02-08 00:01:51	2013-02-08 00:01:51
88	大覚寺	2013-02-08 00:10:24	2013-02-08 00:10:24
89	グルメ	2013-02-09 09:08:21	2013-02-09 09:08:21
90	駅	2013-02-09 09:21:26	2013-02-09 09:21:26
91	博物館	2013-02-11 04:36:09	2013-02-11 04:36:09
92	天下三棚	2013-02-12 07:48:13	2013-02-12 07:48:13
93	歌	2013-02-13 23:47:58	2013-02-13 23:47:58
94	予約003	2013-02-15 03:29:29	2013-02-20 08:30:38
95	予約002	2013-02-15 03:29:58	2013-02-20 08:30:25
96	キャラクター	2013-02-15 03:31:39	2013-02-15 03:31:39
97	山科	2013-02-15 03:31:39	2013-02-15 03:31:39
98	三条京阪	2013-02-16 05:14:00	2013-02-16 05:14:00
99	御所	2013-02-16 05:14:00	2013-02-16 05:14:00
100	酒屋	2013-02-16 05:18:00	2013-02-16 05:18:00
101	六条通	2013-02-16 05:18:00	2013-02-16 05:18:00
102	出町ふたば	2013-02-16 05:22:39	2013-02-16 05:22:39
103	和菓子	2013-02-16 05:22:39	2013-02-16 05:22:39
104	動物	2013-02-16 05:27:42	2013-02-16 05:27:42
105	出町柳	2013-02-16 05:27:42	2013-02-16 05:27:42
106	琵琶湖疎水	2013-02-16 05:51:28	2013-02-16 05:51:28
107	銀閣寺	2013-02-16 06:02:28	2013-02-16 06:02:28
108	納涼床	2013-02-16 07:04:52	2013-02-16 07:04:52
109	学祭	2013-02-16 07:17:33	2013-02-16 07:17:33
110	祭り	2013-02-16 07:27:29	2013-02-16 07:27:29
111	平安京	2013-02-18 15:24:41	2013-02-18 15:24:41
112	建都1200年	2013-02-18 15:24:41	2013-02-18 15:24:41
113	今昔物語	2013-02-18 15:30:16	2013-02-18 15:30:16
114	菅原道真	2013-02-22 06:08:24	2013-02-22 06:08:24
115	琵琶湖疏水	2013-02-22 06:16:25	2013-02-22 06:16:25
116	公共施設	2013-02-22 06:24:46	2013-02-22 06:24:46
117	新撰組	2013-02-22 16:54:00	2013-02-22 16:54:00
118	嵯峨天皇	2013-02-22 17:01:46	2013-02-22 17:01:46
119	聖徳太子	2013-02-22 17:06:55	2013-02-22 17:06:55
120	お酒	2013-02-23 04:38:38	2013-02-23 04:38:38
121	節分	2013-02-23 07:39:36	2013-02-23 07:39:36
122	遊園地	2013-02-23 14:19:28	2013-02-23 14:19:28
