id	name	latitude	longitude	url	question	answer1	answer2	answer3	correct	created_at	updated_at	author	hiragana
13	方広寺	34.992	135.772	http://ja.wikipedia.org/wiki/方広寺	方広寺鐘銘事件として有名な梵鐘の銘文は、何の原因となったか	関ヶ原の役	大坂の陣	大塩平八郎の乱	2	2013-02-02 18:11:32	2013-02-22 07:36:25	國居	ほうこうじ
14	六道珍皇寺	34.9982	135.775	http://ja.wikipedia.org/wiki/六道珍皇寺	六道珍皇寺の井戸を通って冥界に通ったと伝わっている人物は	空海	小野篁	慶俊	2	2013-02-02 18:16:10	2013-02-23 16:10:13	國居	ろくどうちんのうじ
15	東寺	34.9821	135.748	http://ja.wikipedia.org/wiki/東寺	神泉苑で空海と雨乞いの対決をしたのは	守敏	勤操	明恵	1	2013-02-02 18:25:47	2013-02-22 07:37:19	國居	とうじ
16	西寺跡	34.9809	135.738	http://ja.wikipedia.org/wiki/西寺	西寺を守敏に下賜したのは	桓武天皇	嵯峨天皇	平城天皇	2	2013-02-02 18:35:01	2013-02-22 07:37:49	國居	さいじあと
17	神泉苑	35.011	135.748	http://ja.wikipedia.org/wiki/神泉苑	神泉苑には何が住むと言われているか	不動明王	竜神	聖観音	2	2013-02-02 18:39:27	2013-02-22 07:38:23	國居	しんせんえん
18	羅城門跡	34.9793	135.743	http://ja.wikipedia.org/wiki/羅城門	今昔物語で羅城門に住む鬼にとられたのは何か	琵琶	月琴	箏	1	2013-02-02 18:45:00	2013-02-22 07:38:45	國居	らじょうもん
19	八坂神社	35.0037	135.777	http://ja.wikipedia.org/wiki/八坂神社	八坂神社の祭神は何か	素戔嗚尊	猿田彦大神	木花之佐久夜毘売	1	2013-02-02 18:50:38	2013-02-23 15:52:11	國居	やさかじんじゃ
20	鹿苑寺（金閣寺）	35.0392	135.732	http://ja.wikipedia.org/wiki/鹿苑寺	金閣寺放火事件を題材にした「金閣炎上」を書いた作家は	三島由紀夫	水上勉	司馬遼太郎	2	2013-02-02 18:55:37	2013-02-22 07:39:32	國居	ろくおんじ
21	慈照寺(銀閣寺)	35.0272	135.797	http://ja.wikipedia.org/wiki/銀閣寺	銀閣寺の正式名は	鹿苑寺	慈照寺	相国寺	2	2013-02-02 19:00:53	2013-02-22 07:39:55	國居	じしょうじ
22	大徳寺	35.0408	135.747	http://ja.wikipedia.org/wiki/大徳寺	応仁の乱で焼失した伽藍を復興させるのに尽力したのは	豊臣秀吉	千利休	一休宗純	3	2013-02-02 19:07:09	2013-02-22 07:40:21	國居	だいとくじ
23	南禅寺	35.0111	135.792	http://ja.wikipedia.org/wiki/南禅寺	歌舞伎の石川五右衛門が「絶景かな絶景かな……」といったのは南禅寺のどの建物の上でしょう？	勅使門	三門	大方丈	2	2013-02-02 19:18:34	2013-02-23 16:04:43	國居	なんぜんじ
24	神馬堂	35.058	135.752	http://wagashi.kotolog.jp/post/やきもち%E3%80%80神馬堂/	神馬堂の有名なお菓子といえば？	やきもち	まめもち	きなこもち	1	2013-02-03 23:35:28	2013-02-23 05:53:07	荻	じんばどう
25	平安神宮	35.0165	135.782	http://ja.wikipedia.org/wiki/平安神宮	国の登録有形文化財に登録されている平安神宮の大鳥居の高さは？	16.9m	20.5m	24.4m	3	2013-02-04 11:00:38	2013-02-22 07:41:26	藤原	へいあんじんぐう
26	醍醐寺	34.951	135.82	http://www.daigoji.or.jp/index.html	醍醐寺で「醍醐の花見」を行ったのは誰か	織田信長	豊臣秀吉	徳川家康	2	2013-02-04 11:29:04	2013-02-22 07:41:46	藤原	だいごじ
27	伏見稲荷大社	34.9671	135.773	http://inari.jp/	伏見稲荷大社の参道にはどれくらいの鳥居が立っているでしょう？	約一千基	約五千基	約一万基	3	2013-02-04 12:20:41	2013-02-22 07:41:59	藤原	ふしみいなりたいしゃ
28	相国寺	35.0331	135.762	http://ja.wikipedia.org/wiki/相国寺	相国寺の堂内で手を打つと聞こえるものは？	鳴き犬	鳴き猫	鳴き龍	3	2013-02-05 00:12:21	2013-02-23 16:03:19	荻	しょうこくじ
29	京都国際マンガミュージアム	35.0117	135.759	http://www.kyotomm.jp	京都国際マンガミュージアムの館長は？	養老孟司	茂木健一郎	山内昌之	1	2013-02-05 04:40:32	2013-02-22 07:42:39	臼谷	きょうとこくさいまんがみゅーじあむ
30	三十三間堂	34.9879	135.772	http://sanjusangendo.jp	三十三間堂の通し矢が始まったのはいつの時代？	鎌倉時代	室町時代	桃山時代	3	2013-02-05 04:56:36	2013-02-22 07:43:09	臼谷	さんじゅうさんげんどう
31	建仁寺	35.001	135.774	http://www.kenninji.jp	建仁寺の山号は？	東山	西山	南山	1	2013-02-05 05:16:07	2013-02-22 07:43:29	臼谷	けんにんじ
32	京都水族館	34.9876	135.748	http://www.kyoto-aquarium.com	京都水族館の京の川ゾーン、京の川とは？	堀川	桂川	鴨川	3	2013-02-05 05:31:28	2013-02-22 07:43:55	臼谷	きょうとすいぞくかん
33	梅小路蒸気機関車館	34.9851	135.739	http://www.mtm.or.jp/uslm/	梅小路蒸気機関車館で、体験乗車できるのは？	SLやえもん号	SLスチーム号	SL轟天号	2	2013-02-05 06:07:40	2013-02-22 07:44:26	臼谷	うめこうじじょうききかんしゃかん
34	豊国神社	34.9914	135.773	http://ja.wikipedia.org/wiki/豊国神社_(京都市)	豊臣秀吉が豊国神社に祀るように遺言したのは？	天香山命	八幡神	大国主	2	2013-02-05 06:22:01	2013-02-23 16:10:41	臼谷	とよくにじんじゃ
35	山ノ内駅	35.0083	135.723	http://ja.wikipedia.org/wiki/山ノ内駅_(京都府)	山ノ内駅の安全地帯は幅は？	63cm	88cm	121cm	1	2013-02-05 06:36:18	2013-02-22 07:45:12	臼谷	やまのうちえき
36	東本願寺	34.991	135.758	http://www.higashihonganji.or.jp	東本願寺御影堂の構造は？	入母屋造	切妻造	宝形造	1	2013-02-05 06:43:14	2013-02-22 07:45:28	臼谷	ひがしほんがんじ
37	すし岩	34.9901	135.762	http://www.sushiiwa.jp	「すし岩」のすしを人生で最も美味しかったと絶賛したのは誰？	スティーブ・ウォズニアック	スティーブ・ジョブズ	ビル・ゲイツ	2	2013-02-05 06:54:12	2013-02-23 15:48:39	臼谷	すしいわ
38	西芳寺	34.992	135.683	http://ja.wikipedia.org/wiki/西芳寺	西芳寺の別名は？	禅寺	萌寺	苔寺	3	2013-02-05 06:59:19	2013-02-22 07:46:33	臼谷	さいほうじ
39	松尾大社	35	135.685	http://www.matsunoo.or.jp	松尾大社が記されるのは？	古事記	日本書紀	風土記	1	2013-02-05 07:06:11	2013-02-22 07:46:59	臼谷	まつのおたいしゃ
40	二尊院	35.0212	135.668	http://ja.wikipedia.org/wiki/二尊院	応仁の乱で全焼した二尊院を再建したのは誰？	細川晴元	勧修寺教秀	三条西実隆	3	2013-02-05 07:11:42	2013-02-22 07:47:32	臼谷	にそんいん
41	等持院	35.0316	135.723	http://ja.wikipedia.org/wiki/等持院	等持院の山号は？	百年山	千年山	万年山	3	2013-02-05 07:16:43	2013-02-22 07:47:54	臼谷	とうじいん
42	イオンモールKYOTO	34.9827	135.755	http://kyoto-aeonmall.com/index.jsp	イオンモールKYOTOがグランドオープンしたのはいつ？	2009年	2010年	2011年	2	2013-02-05 07:26:13	2013-02-22 07:48:10	臼谷	いおんもーるきょうと
43	京都ヨドバシ	34.9882	135.759	http://www.yodobashi-kyoto.com	京都ヨドバシがオープンしたのはいつ？	2009年	2010年	2011年	2	2013-02-05 07:29:56	2013-02-22 07:48:33	臼谷	きょうとよどばし
44	四条烏丸	35.0039	135.759	http://ja.wikipedia.org/wiki/四条烏丸	かつて四条烏丸に、存在していたものは？	京都地方裁判所	京都証券取引所	京都中央郵便局	2	2013-02-05 07:46:21	2013-02-22 07:49:04	臼谷	しじょうからすま
45	五条大橋	34.9957	135.768	http://ja.wikipedia.org/wiki/五条大橋	五条の橋を石柱の橋に改修したのは五奉行の誰？	増田長盛	長束正家	前田玄以	1	2013-02-05 07:54:24	2013-02-23 16:00:10	臼谷	ごじょうおおはし
46	下鴨神社	35.0384	135.773	http://ja.wikipedia.org/wiki/賀茂御祖神社	下鴨の茶屋が発祥とされる和菓子は？	いちご大福	もなか	みたらし団子	3	2013-02-05 09:25:51	2013-02-22 07:49:55	原田	しもがもじんじゃ
47	京都市動物園	35.0128	135.786	http://www5.city.kyoto.jp/zoo/	この動物園で繁殖に力を入れており、平成23年に日本初の4世が誕生した動物の種類は？	ゴリラ	マントヒヒ	テナガザル	1	2013-02-05 09:47:35	2013-02-22 07:50:53	原田	きょうとしどうぶつえん
48	井上六郎商店	34.9882	135.76	http://www006.upp.so-net.ne.jp/inouerokurou/	水だし煎茶で有名な井上六郎商店の看板犬の名前は？	うーろん	げんまい	せん	2	2013-02-05 23:23:09	2013-02-23 15:40:06	荻	いのうえろくろうしょうてん
49	糺の森	35.0354	135.772	http://ja.wikipedia.org/wiki/糺の森	「糺の森」の原生林に生えている木で一番多いものは？	ムクノキ	ケヤキ	エノキ	1	2013-02-05 23:34:55	2013-02-23 15:51:05	荻	ただすのもり
50	修学院離宮	35.0539	135.804	http://ja.wikipedia.org/wiki/修学院離宮	「天下三棚」の一つ、霞棚があるのはどこ？	下御茶屋	中御茶屋	上御茶屋	2	2013-02-05 23:44:14	2013-02-22 07:52:24	荻	しゅがくいんりきゅう
51	京都コンサートホール	35.0499	135.767	http://ja.wikipedia.org/wiki/京都コンサートホール	京都コンサートホールに設置されている国内最大級の楽器は？	バイオリン	グランドピアノ	パイプオルガン	3	2013-02-06 00:15:24	2013-02-23 15:59:10	荻	きょうとこんさーとほーる
52	京都国立博物館	34.99	135.773	http://www.kyohaku.go.jp/jp/index_top.html	国立博物館の特別展示館と噴水の間に設置されている像は？	ダビデ像	考える人	初代館長の胸像	2	2013-02-06 09:09:30	2013-02-23 15:59:29	原田	きょうとこくりつはくぶつかん
53	壬生寺	35.0022	135.744	http://ja.wikipedia.org/wiki/壬生寺	新撰組ゆかりの壬生寺境内に銅像があるのは？	近藤勇	沖田総司	藤堂平助	1	2013-02-06 23:21:23	2013-02-23 16:14:22	荻	みぶでら
54	錦市場	35.005	135.764	http://ja.wikipedia.org/wiki/錦市場	京料理の食材がほとんどがそろうこの場所は？	黒門市場	錦市場	黒潮市場	2	2013-02-06 23:45:34	2013-02-22 15:52:32	荻	にしきいちば
55	西利	34.9897	135.753	http://www.nishiri.co.jp	総理大臣賞を受賞した漬け物は？	すぐき	生しば漬	西利の千枚漬	3	2013-02-06 23:59:53	2013-02-22 15:51:57	荻	にしり
56	東福寺	34.9771	135.774	http://www.tofukuji.jp/	美しい紅葉で有名な東福寺の橋でないものはどれ？	渡月橋	臥雲橋	通天橋	1	2013-02-07 11:56:50	2013-02-23 16:05:34	野口光太郎	とうふくじ
57	西部講堂	35.0268	135.778	http://ja.wikipedia.org/wiki/京都大学西部講堂	西部講堂には何組の大物海外アーティストが来日していた歴史がありますが、なかでも暴動の発生によって伝説となっているのは？	トーキング・ヘッズ	ポリス	トム・ウェイツ	2	2013-02-07 12:28:26	2013-02-22 15:51:13	野口光太郎	せいぶこうどう
58	北野天満宮	35.0311	135.735	http://kitanotenmangu.or.jp/	学問の神様として有名な北野天満宮。ある花が沢山咲くことでも有名です。何の花でしょう	梅	桜	水仙	1	2013-02-07 23:49:08	2013-02-22 15:51:02	井内	きたのてんまんぐう
59	妙心寺	35.0232	135.72	http://www.myoshinji.or.jp/guide/index.html	日本最大の禅寺の妙心寺にはいくつの塔頭があるか？	26	36	46	3	2013-02-07 23:49:32	2013-02-22 15:50:45	荻	みょうしんじ
60	二条城	35.0142	135.747	http://ja.wikipedia.org/wiki/二条城	かつて二条城にあった施設は？	プール	テニスコート	温泉	2	2013-02-08 00:01:51	2013-02-22 15:50:13	臼谷	にじょうじょう
61	大覚寺	35.0283	135.678	http://ja.wikipedia.org/wiki/大覚寺	嵯峨御所とも呼ばれ、映画「陰陽師」の舞台ともなったこの場所は？	大覚寺	天龍寺	妙心寺	1	2013-02-08 00:10:24	2013-02-22 15:50:01	荻	だいかくじ
62	渡月橋	35.013	135.678	http://ja.wikipedia.org/wiki/渡月橋	名前の由来、亀山上皇が橋の上空を移動していく何を眺めて感想を述べたか？	太陽	月	星	2	2013-02-10 21:00:24	2013-02-22 17:10:08	荻	とげつきょう
63	東映太秦映画村	35.0164	135.708	http://ja.wikipedia.org/wiki/東映太秦映画村	映画村の初代マスコットキャラクターは？	かちん太	からす天狗うじゅ	かんたろう	3	2013-02-11 04:42:24	2013-02-22 15:49:29	臼谷	とうえいうずまさえいがむら
64	桂離宮	34.984	135.71	http://ja.wikipedia.org/wiki/桂離宮	桂離宮を「泣きたくなるほど美しい」と絶賛したのは誰？	ブルーノ・タウト	佐々木嘉平	テオドール・フィッシャー	1	2013-02-12 07:46:01	2013-02-22 15:49:05	臼谷	かつらりきゅう
65	丸太町駅	35.0166	135.76	http://ja.wikipedia.org/wiki/丸太町駅	「京都の通り名の歌」の歌いだしはなんでしょう	まるたけえびすに	あねさんろっかくたこにしき	せったちゃらちゃらうおのたな	1	2013-02-13 23:47:58	2013-02-22 15:48:44	井内	まるたまちえき
66	広隆寺	35.0155	135.707	http://ja.wikipedia.org/wiki/広隆寺	広隆寺が所蔵する国宝の仏像は？	百済観音像	如意輪観音像	弥勒菩薩半跏思惟像	3	2013-02-14 00:17:44	2013-02-22 15:48:24	臼谷	こうりゅうじ
67	澤屋	35.0277	135.735	http://www.awamochi-sawaya.shop-site.jp/	北野天満宮の門前にある澤屋さんで有名な和菓子は？	粟餅	あぶり餅	焼餅	1	2013-02-15 03:27:53	2013-02-22 15:52:54	鳥原由佳里	さわや
68	山科三条街道	34.9912	135.815	http://www.sanjokai.jp/mote.html	山科三条街道商店会のナスをモチーフにしたキャラクターの名前は？	なすまろ	やましなす	もてなすくん	3	2013-02-15 03:31:39	2013-02-22 15:48:01	藤原	やましなさんじょうかいどう
69	一条通り	35.0262	135.734	http://kyotohyakki.com/	一条通りを別名なんというか？	メルヘンストリート	妖怪ストリート	怪獣ストリート	2	2013-02-15 03:34:26	2013-02-22 15:47:27	鳥原由佳里	いちじょうどおり
70	京都造形大学	35.0379	135.793	http://www.kyoto-art.ac.jp/	2007年から2013年現在まで京都造形大学の副学長を務めるのはだれ？	ジャニー喜多川	つんく	秋元康	3	2013-02-16 05:07:33	2013-02-22 15:47:14	野口光太郎	きょうとぞうけいだいがく
71	高山彦九郎像	35.009	135.773	http://ja.wikipedia.org/wiki/高山彦九郎	三条の「土下座像」として知られるこの人物の像はどちらを向いている？	北西	北東	南西	1	2013-02-16 05:14:00	2013-02-22 15:46:59	野口光太郎	たかやまひこくろうぞう
72	名酒館タキモト	34.9938	135.763	http://www.eonet.ne.jp/~takimoto/	関西屈指の品揃えを誇る「名酒館タキモト」はどの通りにある？	四条通	五条通	六条通	3	2013-02-16 05:18:00	2013-02-23 15:46:45	野口光太郎	めいしゅかんたきもと
73	出町ふたば	35.0302	135.77	http://tabelog.com/kyoto/A2603/A260302/26001520/	あっさりした味わいで、行列が絶えないほどの人気を誇る「出町ふたば」で最も有名なお菓子は？	ぼた餅	豆餅	月餅	2	2013-02-16 05:22:39	2013-02-23 15:45:14	野口光太郎	でまちふたば
74	出町橋	35.0304	135.771	http://ja.wikipedia.org/wiki/鴨川_(淀川水系)	鴨川（賀茂川）は出町柳付近に出没すると噂のげっ歯類はどれ？	カピバラ	ビーバー	ヌートリア	3	2013-02-16 05:27:42	2013-02-22 15:45:51	野口光太郎	でまちばし
75	京都女子大学	34.9887	135.78	http://www.kyoto-wu.ac.jp/	東大路から京都女子大学へ向かう、急な坂の通称は？	女坂	車坂	桜坂	1	2013-02-16 05:33:50	2013-02-23 16:07:10	野口光太郎	きょうとじょしだいがく
76	哲学の道	35.0271	135.795	http://ja.wikipedia.org/wiki/哲学の道	哲学の道の名前の由来である哲学者は誰？	橋本関雪	西田幾多郎	鈴木大拙	2	2013-02-16 06:02:28	2013-02-22 15:45:19	畠山	てつがくのみち
77	鴨川納涼床	35.0059	135.771	http://www.kyoto-yuka.com/	京都夏の風物詩「鴨川納涼床」の下を流れる川の名前は？	高瀬川	禊川	白川	2	2013-02-16 07:04:52	2013-02-22 15:45:07	野口光太郎	かもがわのうりょうゆか
78	京都大学	35.0262	135.781	http://www.kyoto-u.ac.jp/ja	森見登美彦の小説「夜は短し歩けよ乙女」でもその様子が活写された学祭「NF」は何月に開催される？	5月	6月	11月	3	2013-02-16 07:17:07	2013-02-22 15:44:52	野口光太郎	きょうとだいがく
79	吉田神社	35.0238	135.785	http://www5.ocn.ne.jp/~yosida/	吉田神社で行われる盛大なお祭といえば？	十日戎	節分祭	涅槃会	2	2013-02-16 07:27:29	2013-02-22 15:44:37	野口光太郎	よしだじんじゃ
80	京都市役所	35.0116	135.768	http://ja.wikipedia.org/wiki/京都市役所	建物前の広場が市民の憩いの場ともなっているこの市役所の前にはとても有名なお寺がありますが、それは何？	本能寺	知恩院	仁和寺	1	2013-02-16 07:33:46	2013-02-23 09:00:40	野口光太郎	きょうとしやくしょ
81	サントリー京都ビール工場	34.9112	135.697	http://www.suntory.co.jp/factory/kyoto/inspection/index.html	ビールの主な原料は、天然水、ホップと何？	大麦	トウモロコシ	大豆	1	2013-02-22 05:53:23	2013-02-22 15:43:15	國居	さんとりーきょうとびーるこうじょう
82	サントリー山崎蒸留所	34.8927	135.675	http://www.suntory.co.jp/factory/yamazaki/inspection/index.html	山崎の地は3つの川が合流する場所に位置している。3つの川とは、桂川、宇治川、と何か？	木更津川	木津川	津川	2	2013-02-22 05:57:19	2013-02-22 15:42:55	國居	さんとりーやまざきじょうりゅうしょ
83	宝鏡寺	35.0337	135.753	http://ja.wikipedia.org/wiki/宝鏡寺	宝鏡寺は通称、何寺と呼ばれているか？	苔寺	人形寺	花の寺	2	2013-02-22 06:00:33	2013-02-22 15:42:17	國居	ほうきょうじ
84	梨木神社	35.0239	135.767	http://www.nashinoki.jp/index.html	京都御所に隣接するこの神社の境内の井戸水は京都三名水の一つとされる。その通称は何か？	染井の水	県井の水	醒ヶ井の水	1	2013-02-22 06:05:24	2013-02-22 15:41:59	國居	なしのきじんじゃ
85	錦天満宮	35.005	135.767	http://ja.wikipedia.org/wiki/錦天満宮	錦天満宮の社務所前にある「からくりみくじ」で機械仕掛けで動くのは何か？	獅子	狐	狛犬	1	2013-02-22 06:08:24	2013-02-23 16:09:35	國居	にしきてんまんぐう
86	インクライン跡	35.0095	135.79	http://kanko.city.kyoto.lg.jp/detail.php?InforKindCode=1&ManageCode=4000039	琵琶湖疏水の分線である水路閣が敷地内を通る寺はどこか？	相国寺	南禅寺	天龍寺	2	2013-02-22 06:16:25	2013-02-22 15:41:11	國居	いんくらいんあと
87	京都府立図書館	35.013	135.783	https://www.library.pref.kyoto.jp	向かいの京都市美術館とはさんだ道を200m北に進むとぶつかる神社はなにか？	北野天満宮	八坂神社	平安神宮	3	2013-02-22 06:24:46	2013-02-22 15:40:56	國居	きょうとふりつとしょかん
88	わら天神	35.0359	135.732	http://www.kyoto-jinjacho.or.jp/shrine/03/060/	安産のご利益で有名な、わら天神の主祭神は何か？	木花開耶姫命	邇邇芸命	玉依姫命	1	2013-02-22 06:28:50	2013-02-23 16:07:47	國居	わらてんじん
89	京都府庁旧本館	35.0228	135.756	http://ja.wikipedia.org/wiki/京都府庁旧本館	京都府の広報監は？	まゆまろ	たわわちゃん	ひこにゃん	1	2013-02-23 05:31:17	2013-02-23 05:32:22	臼谷	きょうとふちょうきゅうほんかん
90	伏見桃山城	34.9422	135.777	http://ja.wikipedia.org/wiki/%E4%BC%8F%E8%A6%8B%E6%A1%83%E5%B1%B1%E5%9F%8E%E3%82%AD%E3%83%A3%E3%83%83%E3%82%B9%E3%83%AB%E3%83%A9%E3%83%B3%E3%83%89	2003年に閉園した伏見桃山城跡地にあった遊園地の名前は？	伏見桃山城キャッスルランド	伏見桃山アドベンチャーランド	伏見桃山城ワンダーランド	1	2013-02-23 14:19:28	2013-02-23 16:17:44	藤原	ふしみももやまじょう
91	同志社女子大学	35.0295	135.764	http://www.dwc.doshisha.ac.jp/	登録有形文化財に登録されている、同志社女子大学の中にある建物は？	栄光館	知徳館	純正館	1	2013-02-23 14:33:41	2013-02-23 14:33:41	藤原	どうししゃじょしだいがく
